Date,o
2018-08-25,"{'h': None, 'l': None, 'v': 39.868220942916004}"
2018-08-26,"{'h': None, 'l': None, 'v': 39.544837773193215}"
2018-08-27,"{'h': None, 'l': None, 'v': 39.63737778643074}"
2018-08-28,"{'h': None, 'l': None, 'v': 41.15697864580124}"
2018-08-29,"{'h': None, 'l': None, 'v': 41.78024297610139}"
2018-08-30,"{'h': None, 'l': None, 'v': 41.3150441585974}"
2018-08-31,"{'h': None, 'l': None, 'v': 41.59812749240893}"
2018-09-01,"{'h': None, 'l': None, 'v': 42.87814636141428}"
2018-09-02,"{'h': None, 'l': None, 'v': 43.15996546342482}"
2018-09-03,"{'h': None, 'l': None, 'v': 42.55151370122971}"
2018-09-04,"{'h': 81.98761764352004, 'l': 27.71919293910534, 'v': 43.54531198540214}"
2018-09-05,"{'h': 81.58682400958774, 'l': 27.733781820432906, 'v': 42.71474409320388}"
2018-09-06,"{'h': 81.18203541156248, 'l': 27.706229569901204, 'v': 38.78824565152283}"
2018-09-07,"{'h': 80.73799338323825, 'l': 27.706272941928116, 'v': 38.791220928485956}"
2018-09-08,"{'h': 80.13514641903423, 'l': 27.807931082565002, 'v': 38.293625240508874}"
2018-09-09,"{'h': 79.66472186583536, 'l': 27.820764686072806, 'v': 37.85349011918367}"
2018-09-10,"{'h': 79.30229497762163, 'l': 27.769589473997858, 'v': 37.821422840104475}"
2018-09-11,"{'h': 78.98363812639735, 'l': 27.695372470296075, 'v': 37.792379053774724}"
2018-09-12,"{'h': 78.67655871778186, 'l': 27.61539824727948, 'v': 37.6434299191397}"
2018-09-13,"{'h': 78.41749544952198, 'l': 27.52442016037914, 'v': 38.61621673946282}"
2018-09-14,"{'h': 78.10516330958939, 'l': 27.46848381392758, 'v': 38.883405144284126}"
2018-09-15,"{'h': 77.65730350490422, 'l': 27.498181631132002, 'v': 38.96873458254584}"
2018-09-16,"{'h': 77.18431047933014, 'l': 27.54504264060097, 'v': 38.773840408506395}"
2018-09-17,"{'h': 76.6995702353451, 'l': 27.596600355811642, 'v': 38.237691408992326}"
2018-09-18,"{'h': 76.13324869448523, 'l': 27.698351653705515, 'v': 37.56991970013948}"
2018-09-19,"{'h': 75.45667728390123, 'l': 27.884043163582373, 'v': 37.78930769125464}"
2018-09-20,"{'h': 74.78749047154481, 'l': 28.074595294763288, 'v': 38.20388545727148}"
2018-09-21,"{'h': 74.0181522118656, 'l': 28.35718750472429, 'v': 39.4491553767564}"
2018-09-22,"{'h': 73.35692288581801, 'l': 28.56605956089361, 'v': 39.33062493943868}"
2018-09-23,"{'h': 72.8353287277715, 'l': 28.682020841806413, 'v': 39.31584113633907}"
2018-09-24,"{'h': 72.46406271830011, 'l': 28.697791080912197, 'v': 38.8775139230585}"
2018-09-25,"{'h': 72.23993365833823, 'l': 28.614506352489776, 'v': 37.635838763052305}"
2018-09-26,"{'h': 71.95552146879541, 'l': 28.570486689516986, 'v': 37.90392369566962}"
2018-09-27,"{'h': 71.69566773202027, 'l': 28.519232709327422, 'v': 38.25734323785516}"
2018-09-28,"{'h': 71.35197862323119, 'l': 28.529324682976938, 'v': 39.044342573217925}"
2018-09-29,"{'h': 71.05975622566152, 'l': 28.501915369380264, 'v': 38.30023705019375}"
2018-09-30,"{'h': 70.82910605527144, 'l': 28.444929848612638, 'v': 38.532461163946664}"
2018-10-01,"{'h': 70.6917727621657, 'l': 28.345090923188454, 'v': 38.55630359962713}"
2018-10-02,"{'h': 70.52731142224724, 'l': 28.256353456641982, 'v': 38.376848029749475}"
2018-10-03,"{'h': 70.39315959453444, 'l': 28.14896249768253, 'v': 37.83952954606181}"
2018-10-04,"{'h': 70.30259686832608, 'l': 28.033443336420966, 'v': 38.275787867597224}"
2018-10-05,"{'h': 70.12489870047501, 'l': 27.954262931266438, 'v': 38.28388723838468}"
2018-10-06,"{'h': 69.89620771802836, 'l': 27.903552876750645, 'v': 38.350476168723745}"
2018-10-07,"{'h': 69.60413078545255, 'l': 27.889655919702705, 'v': 38.28115361448644}"
2018-10-08,"{'h': 69.36623830393025, 'l': 27.85058349028669, 'v': 38.56359321722325}"
2018-10-09,"{'h': 69.1771729862065, 'l': 27.799476568057155, 'v': 39.51570180413712}"
2018-10-10,"{'h': 68.93489495203318, 'l': 27.777365379408618, 'v': 39.498402929359116}"
2018-10-11,"{'h': 68.74344410460517, 'l': 27.709937396928666, 'v': 37.80845809532851}"
2018-10-12,"{'h': 68.59869910622227, 'l': 27.62121964646508, 'v': 37.725268725393946}"
2018-10-13,"{'h': 68.48237991967815, 'l': 27.519477822158677, 'v': 37.49475035410043}"
2018-10-14,"{'h': 68.3614920007436, 'l': 27.444517283912965, 'v': 39.359619815794716}"
2018-10-15,"{'h': 68.27520633302386, 'l': 27.39555507558983, 'v': 42.51760339619363}"
2018-10-16,"{'h': 68.23863494762963, 'l': 27.361279568927994, 'v': 44.44091401068199}"
2018-10-17,"{'h': 68.19986791577519, 'l': 27.3375887299399, 'v': 45.894602971599014}"
2018-10-18,"{'h': 68.17503385267398, 'l': 27.319762363568596, 'v': 46.46400981444451}"
2018-10-19,"{'h': 68.14294895503767, 'l': 27.30477746954761, 'v': 47.237043819935025}"
2018-10-20,"{'h': 68.08744381340404, 'l': 27.294949734197406, 'v': 48.007885302935}"
2018-10-21,"{'h': 68.05246867540103, 'l': 27.28512531215644, 'v': 48.30177732214792}"
2018-10-22,"{'h': 68.0375681554562, 'l': 27.277182292225223, 'v': 48.07285000366155}"
2018-10-23,"{'h': 68.02719436990071, 'l': 27.270311330556876, 'v': 47.8257093310488}"
2018-10-24,"{'h': 67.9994238079858, 'l': 27.25406650046793, 'v': 46.770849388600304}"
2018-10-25,"{'h': 67.96846647478516, 'l': 27.24181105248736, 'v': 47.65904937989391}"
2018-10-26,"{'h': 67.94510567703776, 'l': 27.23258253590176, 'v': 48.17477024126345}"
2018-10-27,"{'h': 67.92570559843361, 'l': 27.22098328534156, 'v': 47.311643291460804}"
2018-10-28,"{'h': 67.90053697527689, 'l': 27.207286443037205, 'v': 47.12197663953802}"
2018-10-29,"{'h': 67.83718387054927, 'l': 27.19077179105453, 'v': 46.52191018987543}"
2018-10-30,"{'h': 67.70688597614054, 'l': 27.199475442619832, 'v': 47.20209950159434}"
2018-10-31,"{'h': 67.57882492997575, 'l': 27.214120299759436, 'v': 48.1138501554433}"
2018-11-01,"{'h': 67.42810941388161, 'l': 27.24628139459195, 'v': 49.204574556889234}"
2018-11-02,"{'h': 67.29739380373842, 'l': 27.271087312309177, 'v': 49.37651171654148}"
2018-11-03,"{'h': 67.16187706178184, 'l': 27.29275952159795, 'v': 48.458195434011266}"
2018-11-04,"{'h': 67.02713567780074, 'l': 27.31791886061827, 'v': 48.978301219338476}"
2018-11-05,"{'h': 66.86896833776046, 'l': 27.355134730899895, 'v': 49.0931997035703}"
2018-11-06,"{'h': 66.67773223268391, 'l': 27.41072083411424, 'v': 49.25475332903546}"
