,Date,GTREND_BTC
923,2021-07-12,47
924,2021-07-13,54
925,2021-07-14,45
926,2021-07-15,50
927,2021-07-16,49
928,2021-07-17,42
929,2021-07-18,43
930,2021-07-19,59
931,2021-07-20,73
932,2021-07-21,64
933,2021-07-22,57
934,2021-07-23,46
935,2021-07-24,52
936,2021-07-25,49
937,2021-07-26,100
938,2021-07-27,73
939,2021-07-28,65
940,2021-07-29,58
941,2021-07-30,49
942,2021-07-31,54
943,2021-08-01,75
944,2021-08-02,75
945,2021-08-03,68
946,2021-08-04,69
947,2021-08-05,74
948,2021-08-06,76
949,2021-08-07,73
950,2021-08-08,80
951,2021-08-09,100
952,2021-08-10,85
953,2021-08-11,89
954,2021-08-12,81
955,2021-08-13,83
956,2021-08-14,76
957,2021-08-15,68
958,2021-08-16,84
959,2021-08-17,72
960,2021-08-18,66
961,2021-08-19,68
962,2021-08-20,74
963,2021-08-21,72
964,2021-08-22,62
965,2021-08-23,88
966,2021-08-24,77
967,2021-08-25,70
968,2021-08-26,69
969,2021-08-27,70
970,2021-08-28,60
971,2021-08-29,57
972,2021-08-30,59
973,2021-08-31,62
974,2021-09-01,45
975,2021-09-02,43
976,2021-09-03,49
977,2021-09-04,43
978,2021-09-05,47
979,2021-09-06,56
980,2021-09-07,100
981,2021-09-08,82
982,2021-09-09,56
983,2021-09-10,52
984,2021-09-11,45
985,2021-09-12,40
986,2021-09-13,51
987,2021-09-14,46
988,2021-09-15,47
989,2021-09-16,44
990,2021-09-17,41
991,2021-09-18,40
992,2021-09-19,38
993,2021-09-20,59
994,2021-09-21,64
995,2021-09-22,52
996,2021-09-23,48
997,2021-09-24,75
998,2021-09-25,50
999,2021-09-26,42
1000,2021-09-27,46
1001,2021-09-28,47
1002,2021-09-29,41
1003,2021-09-30,43
1004,2021-10-01,44
1005,2021-10-02,38
1006,2021-10-03,35
1007,2021-10-04,39
1008,2021-10-05,52
1009,2021-10-06,57
1010,2021-10-07,57
1011,2021-10-08,44
1012,2021-10-09,45
1013,2021-10-10,38
1014,2021-10-11,50
1015,2021-10-12,54
1016,2021-10-13,44
1017,2021-10-14,52
1018,2021-10-15,75
1019,2021-10-16,64
1020,2021-10-17,48
1021,2021-10-18,67
1022,2021-10-19,82
1023,2021-10-20,100
1024,2021-10-21,83
1025,2021-10-22,67
1026,2021-10-23,51
1027,2021-10-24,49
1028,2021-10-25,58
1029,2021-10-26,82
1030,2021-10-27,71
1031,2021-10-28,65
1032,2021-10-29,60
1033,2021-10-30,50
1034,2021-10-31,48
1035,2021-11-01,78
1036,2021-11-02,80
1037,2021-11-03,68
1038,2021-11-04,70
1039,2021-11-05,70
1040,2021-11-06,63
1041,2021-11-07,56
1042,2021-11-08,94
1043,2021-11-09,100
1044,2021-11-10,94
1045,2021-11-11,77
1046,2021-11-12,68
1047,2021-11-13,68
1048,2021-11-14,66
1049,2021-11-15,74
1050,2021-11-16,91
1051,2021-11-17,88
1052,2021-11-18,90
1053,2021-11-19,84
1054,2021-11-20,76
1055,2021-11-21,60
1056,2021-11-22,69
1057,2021-11-23,79
1058,2021-11-24,71
