Date,MACD_Hist
2020-04-22,14.3407
2020-04-23,41.5371
2020-04-24,57.4997
2020-04-25,66.1591
2020-04-26,77.3429
2020-04-27,84.6934
2020-04-28,81.5861
2020-04-29,140.5196
2020-04-30,158.4657
2020-05-01,172.7469
2020-05-02,179.6404
2020-05-03,166.9025
2020-05-04,145.7013
2020-05-05,130.9560
2020-05-06,118.8948
2020-05-07,154.9787
2020-05-08,153.2701
2020-05-09,122.8777
2020-05-10,40.3360
2020-05-11,-28.8319
2020-05-12,-59.7273
2020-05-13,-48.9683
2020-05-14,-13.5725
2020-05-15,-25.7078
2020-05-16,-32.4520
2020-05-17,-20.4615
2020-05-18,-12.9381
2020-05-19,-9.3638
2020-05-20,-27.9398
2020-05-21,-70.7646
2020-05-22,-91.6568
2020-05-23,-103.3819
2020-05-24,-138.3752
2020-05-25,-145.0346
2020-05-26,-148.5192
2020-05-27,-122.5578
2020-05-28,-78.6520
2020-05-29,-58.8473
2020-05-30,-28.2832
2020-05-31,-25.7047
2020-06-01,23.1986
2020-06-02,6.9278
2020-06-03,3.6723
2020-06-04,7.1172
2020-06-05,-3.9881
2020-06-06,-10.0262
2020-06-07,-10.2803
2020-06-08,-9.7868
2020-06-09,-11.6746
2020-06-10,-7.1340
2020-06-11,-44.5542
2020-06-12,-55.8381
2020-06-13,-61.2866
2020-06-14,-71.5518
2020-06-15,-70.4036
2020-06-16,-61.0028
2020-06-17,-56.9953
2020-06-18,-57.6207
2020-06-19,-60.8116
2020-06-20,-57.3395
2020-06-21,-56.9527
2020-06-22,-29.3364
2020-06-23,-14.8670
2020-06-24,-26.4399
2020-06-25,-35.7105
2020-06-26,-45.5412
2020-06-27,-59.1198
2020-06-28,-57.9557
2020-06-29,-49.2758
2020-06-30,-44.5382
2020-07-01,-33.0079
2020-07-02,-32.9959
2020-07-03,-32.6506
2020-07-04,-25.3087
2020-07-05,-23.0504
2020-07-06,-2.2927
2020-07-07,5.9007
2020-07-08,22.7183
2020-07-09,19.6106
2020-07-10,20.6956
2020-07-11,17.2703
2020-07-12,19.0099
2020-07-13,15.6292
2020-07-14,13.8625
2020-07-15,8.6068
2020-07-16,1.0608
2020-07-17,-2.1362
2020-07-18,-2.7310
2020-07-19,-0.2055
2020-07-20,-1.4033
2020-07-21,12.8362
2020-07-22,29.5264
2020-07-23,44.0630
2020-07-24,46.7777
2020-07-25,56.3899
2020-07-26,74.0644
2020-07-27,151.0459
2020-07-28,182.8280
2020-07-29,204.4879
2020-07-30,205.7461
2020-07-31,208.7920
2020-08-01,226.9921
2020-08-02,176.9231
2020-08-03,142.3356
2020-08-04,107.6892
2020-08-05,111.6408
2020-08-06,105.1559
2020-08-07,80.3739
2020-08-08,66.6445
2020-08-09,44.6533
2020-08-10,37.1039
2020-08-11,-6.5258
2020-08-12,-27.5129
2020-08-13,-30.3742
2020-08-14,-36.6608
2020-08-15,-37.5770
2020-08-16,-37.1161
2020-08-17,-15.8505
2020-08-18,-27.6948
2020-08-19,-50.3094
2020-08-20,-59.9070
2020-08-21,-87.5842
2020-08-22,-95.9804
2020-08-23,-100.9789
2020-08-24,-96.0230
2020-08-25,-118.6825
2020-08-26,-120.6384
2020-08-27,-126.7301
2020-08-28,-113.9003
2020-08-29,-106.0634
2020-08-30,-81.9720
2020-08-31,-68.3586
2020-09-01,-40.5485
2020-09-02,-56.6355
2020-09-03,-144.8464
2020-09-04,-174.1943
2020-09-05,-202.0434
2020-09-06,-203.4793
2020-09-07,-186.0514
2020-09-08,-180.5210
2020-09-09,-160.6704
2020-09-10,-130.9154
2020-09-11,-100.4675
2020-09-12,-70.8240
2020-09-13,-53.3597
2020-09-14,-15.7944
2020-09-15,18.0519
2020-09-16,51.2721
2020-09-17,70.5808
2020-09-18,80.4704
2020-09-19,93.5735
2020-09-20,88.1584
2020-09-21,49.3496
2020-09-22,30.8089
2020-09-23,0.3121
2020-09-24,13.8891
2020-09-25,19.5982
2020-09-26,25.8761
2020-09-27,32.3600
2020-09-28,30.6600
2020-09-29,38.0484
2020-09-30,37.3693
2020-10-01,25.6126
2020-10-02,14.4095
2020-10-03,5.4091
2020-10-04,8.0071
2020-10-05,17.7848
2020-10-06,11.2072
2020-10-07,11.2443
2020-10-08,27.6815
2020-10-09,44.9147
2020-10-10,69.1401
2020-10-11,85.6772
2020-10-12,101.6575
2020-10-13,99.1852
2020-10-14,91.7528
2020-10-15,87.1292
2020-10-16,66.8859
2020-10-17,52.2272
2020-10-18,48.2316
2020-10-19,57.7446
2020-10-20,69.3628
2020-10-21,127.0002
2020-10-22,166.5571
2020-10-23,177.4581
2020-10-24,184.3625
2020-10-25,170.6494
2020-10-26,151.1250
2020-10-27,164.4145
2020-10-28,136.3338
2020-10-29,119.1629
2020-10-30,104.0403
2020-10-31,98.8302
2020-11-01,83.2629
2020-11-02,50.1750
2020-11-03,51.5232
2020-11-04,51.6962
2020-11-05,135.5979
2020-11-06,174.3462
2020-11-07,134.4044
2020-11-08,137.4489
2020-11-09,115.6867
2020-11-10,86.6235
2020-11-11,81.0008
2020-11-12,104.2578
2020-11-13,107.2229
2020-11-14,79.2587
2020-11-15,41.9241
2020-11-16,56.1006
2020-11-17,113.7691
2020-11-18,142.5059
2020-11-19,145.5314
2020-11-20,184.6743
2020-11-21,192.6266
2020-11-22,158.6350
2020-11-23,115.2779
2020-11-24,121.5680
2020-11-25,79.6879
2020-11-26,-62.4042
2020-11-27,-160.1805
2020-11-28,-187.0196
2020-11-29,-174.9145
2020-11-30,-71.8992
2020-12-01,-72.9688
2020-12-02,-51.6217
2020-12-03,-31.3498
2020-12-04,-75.8708
2020-12-05,-77.5419
2020-12-06,-70.3049
2020-12-07,-83.5011
2020-12-08,-150.1224
2020-12-09,-178.7509
2020-12-10,-213.8105
2020-12-11,-246.2012
2020-12-12,-211.4639
2020-12-13,-161.8921
2020-12-14,-122.3647
2020-12-15,-87.4072
2020-12-16,55.1037
2020-12-17,228.8756
2020-12-18,339.1298
2020-12-19,428.8014
2020-12-20,430.9514
2020-12-21,353.5549
2020-12-22,346.1395
2020-12-23,275.6680
2020-12-24,237.3102
2020-12-25,251.6189
2020-12-26,348.5186
2020-12-27,364.1445
2020-12-28,391.6030
2020-12-29,392.7376
2020-12-30,452.0389
2020-12-31,451.6053
2021-01-01,435.6969
2021-01-02,565.5546
2021-01-03,649.4535
2021-01-04,581.6865
2021-01-05,610.7611
2021-01-06,752.4381
2021-01-07,945.5365
2021-01-08,1062.0701
2021-01-09,1017.0970
2021-01-10,778.8063
2021-01-11,378.5411
2021-01-12,-14.2721
2021-01-13,-83.5465
2021-01-14,-44.9384
2021-01-15,-207.0974
2021-01-16,-380.4999
2021-01-17,-513.9225
2021-01-18,-552.2797
2021-01-19,-626.2171
2021-01-20,-696.9528
2021-01-21,-1028.0901
2021-01-22,-1074.3230
2021-01-23,-1126.1526
2021-01-24,-1109.2572
2021-01-25,-1059.6158
2021-01-26,-975.6439
2021-01-27,-1020.0825
2021-01-28,-814.8607
2021-01-29,-596.8001
2021-01-30,-436.7097
2021-01-31,-395.6926
2021-02-01,-328.2383
2021-02-02,-150.8618
2021-02-03,100.0353
2021-02-04,202.7203
2021-02-05,336.5832
2021-02-06,453.0464
2021-02-07,469.2721
2021-02-08,929.4048
2021-02-09,1160.7521
2021-02-10,1128.0933
2021-02-11,1233.8161
2021-02-12,1172.6147
2021-02-13,1042.2961
2021-02-14,972.5407
2021-02-15,808.7559
2021-02-16,713.3319
2021-02-17,776.7003
2021-02-18,707.7367
2021-02-19,871.8475
2021-02-20,889.4950
2021-02-21,916.5522
2021-02-22,634.0413
2021-02-23,51.1563
2021-02-24,-307.8092
2021-02-25,-723.1002
2021-02-26,-1035.0469
2021-02-27,-1223.5309
2021-02-28,-1373.0367
2021-03-01,-1141.1167
2021-03-02,-1036.9185
2021-03-03,-820.9033
2021-03-04,-792.1242
2021-03-05,-730.2476
2021-03-06,-664.9768
2021-03-07,-474.4618
2021-03-08,-258.1392
2021-03-09,34.1842
2021-03-10,260.3191
2021-03-11,493.4335
2021-03-12,559.7558
2021-03-13,805.1188
2021-03-14,753.1797
2021-03-15,442.9580
2021-03-16,283.4074
2021-03-17,271.7486
2021-03-18,143.6449
2021-03-19,54.0299
2021-03-20,-26.6432
2021-03-21,-149.9434
2021-03-22,-453.8226
2021-03-23,-628.9032
2021-03-24,-859.0978
2021-03-25,-1044.2473
2021-03-26,-886.4744
2021-03-27,-707.6552
2021-03-28,-576.4421
2021-03-29,-359.5477
2021-03-30,-147.1555
2021-03-31,-19.6758
2021-04-01,47.0453
2021-04-02,88.0133
2021-04-03,-25.2895
2021-04-04,-34.7639
2021-04-05,7.2419
2021-04-06,-52.6035
2021-04-07,-230.3935
2021-04-08,-206.6692
2021-04-09,-188.8160
2021-04-10,-75.4925
2021-04-11,2.9848
2021-04-12,31.5223
2021-04-13,273.3629
2021-04-14,359.2365
2021-04-15,394.1027
2021-04-16,265.0014
2021-04-17,71.0123
2021-04-18,-315.0036
2021-04-19,-587.2877
2021-04-20,-689.1545
2021-04-21,-896.1419
2021-04-22,-1121.6175
2021-04-23,-1246.6097
2021-04-24,-1331.8687
2021-04-25,-1378.5775
2021-04-26,-1018.0077
2021-04-27,-669.1680
2021-04-28,-419.5127
2021-04-29,-315.9804
2021-04-30,37.8189
2021-05-01,272.4603
2021-05-02,334.7281
2021-05-03,400.6515
2021-05-04,173.4529
2021-05-05,297.7004
2021-05-06,298.1724
2021-05-07,345.6659
2021-05-08,459.3185
2021-05-09,469.0444
2021-05-10,296.9577
2021-05-11,228.4899
2021-05-12,-275.6491
2021-05-13,-574.0787
2021-05-14,-718.2716
2021-05-15,-963.9359
2021-05-16,-1082.8201
2021-05-17,-1277.0398
2021-05-18,-1364.6558
2021-05-19,-1726.9252
