time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-08-16T00:00:00.0000000Z,2019-08-17T00:00:00.0000000Z,2019-08-16T00:00:00.1320000Z,2019-08-16T23:59:59.6220000Z,10296.77,10536.03,9750.0,10331.54,51757.165131,504737
2019-08-15T00:00:00.0000000Z,2019-08-16T00:00:00.0000000Z,2019-08-15T00:00:00.0110000Z,2019-08-15T23:59:59.8340000Z,10055.16,10460.0,9911.0,10293.93,38174.45112,373368
2019-08-14T00:00:00.0000000Z,2019-08-15T00:00:00.0000000Z,2019-08-14T00:00:01.7750000Z,2019-08-14T23:59:59.8280000Z,10893.36,10897.48,9928.1,10050.37,54451.634816,534505
2019-08-13T00:00:00.0000000Z,2019-08-14T00:00:00.0000000Z,2019-08-13T00:00:00.6480000Z,2019-08-13T23:59:59.7590000Z,11398.35,11456.16,10788.45,10892.71,33234.345072,337831
2019-08-12T00:00:00.0000000Z,2019-08-13T00:00:00.0000000Z,2019-08-12T00:00:00.0240000Z,2019-08-12T23:59:59.2330000Z,11539.08,11577.89,11235.32,11396.08,17567.182852,255959
2019-08-11T00:00:00.0000000Z,2019-08-12T00:00:00.0000000Z,2019-08-11T00:00:00.2390000Z,2019-08-11T23:59:59.9950000Z,11309.24,11600.0,11112.11,11549.97,26772.90691,306234
2019-08-10T00:00:00.0000000Z,2019-08-11T00:00:00.0000000Z,2019-08-10T00:00:00.1170000Z,2019-08-10T23:59:58.9330000Z,11879.98,11985.0,11270.0,11309.31,42633.087048,399237
2019-08-09T00:00:00.0000000Z,2019-08-10T00:00:00.0000000Z,2019-08-09T00:00:00.5040000Z,2019-08-09T23:59:57.3820000Z,11994.17,12045.68,11700.0,11879.99,39418.980819,410745
2019-08-08T00:00:00.0000000Z,2019-08-09T00:00:00.0000000Z,2019-08-08T00:00:00.0860000Z,2019-08-08T23:59:59.7610000Z,11975.04,12060.0,11521.0,11999.77,51207.257174,473584
2019-08-07T00:00:00.0000000Z,2019-08-08T00:00:00.0000000Z,2019-08-07T00:00:00.3890000Z,2019-08-07T23:59:59.9580000Z,11481.69,12141.17,11382.84,11975.03,69109.085079,592424
2019-08-06T00:00:00.0000000Z,2019-08-07T00:00:00.0000000Z,2019-08-06T00:00:00.0780000Z,2019-08-06T23:59:59.9520000Z,11830.0,12330.7,11226.7,11481.69,76705.389875,625827
2019-08-05T00:00:00.0000000Z,2019-08-06T00:00:00.0000000Z,2019-08-05T00:00:00.0020000Z,2019-08-05T23:59:59.9670000Z,10929.99,11937.52,10927.8,11828.8,65153.673713,622610
2019-08-04T00:00:00.0000000Z,2019-08-05T00:00:00.0000000Z,2019-08-04T00:00:00.1990000Z,2019-08-04T23:59:59.6840000Z,10816.86,11040.0,10552.0,10929.23,39924.705245,353718
2019-08-03T00:00:00.0000000Z,2019-08-04T00:00:00.0000000Z,2019-08-03T00:00:00.3700000Z,2019-08-03T23:59:59.8610000Z,10523.75,10904.77,10497.93,10816.86,33802.201443,348892
2019-08-02T00:00:00.0000000Z,2019-08-03T00:00:00.0000000Z,2019-08-02T00:00:00.8060000Z,2019-08-02T23:59:59.5210000Z,10375.0,10670.0,10281.35,10523.75,42990.444221,431322
2019-08-01T00:00:00.0000000Z,2019-08-02T00:00:00.0000000Z,2019-08-01T00:00:00.1970000Z,2019-08-01T23:59:59.0840000Z,10080.53,10467.86,9863.46,10374.99,41727.637028,378062
2019-07-31T00:00:00.0000000Z,2019-08-01T00:00:00.0000000Z,2019-07-31T00:00:00.2800000Z,2019-07-31T23:59:59.7040000Z,9575.0,10109.8,9555.0,10080.53,39515.35456,364212
2019-07-30T00:00:00.0000000Z,2019-07-31T00:00:00.0000000Z,2019-07-30T00:00:00.5900000Z,2019-07-30T23:59:59.9250000Z,9509.07,9714.28,9402.0,9574.21,32529.761991,283920
2019-07-29T00:00:00.0000000Z,2019-07-30T00:00:00.0000000Z,2019-07-29T00:00:00.0590000Z,2019-07-29T23:59:59.6910000Z,9541.54,9729.0,9395.0,9507.64,29020.789303,294445
2019-07-28T00:00:00.0000000Z,2019-07-29T00:00:00.0000000Z,2019-07-28T00:00:00.1750000Z,2019-07-28T23:59:59.8360000Z,9478.92,9594.99,9165.0,9541.54,29401.022937,271327
2019-07-27T00:00:00.0000000Z,2019-07-28T00:00:00.0000000Z,2019-07-27T00:00:00.4460000Z,2019-07-27T23:59:59.5320000Z,9824.0,10188.66,9333.0,9476.52,43800.955242,401265
2019-07-26T00:00:00.0000000Z,2019-07-27T00:00:00.0000000Z,2019-07-26T00:00:00.0230000Z,2019-07-26T23:59:59.6520000Z,9882.15,9889.98,9637.0,9824.0,27167.463217,299935
2019-07-25T00:00:00.0000000Z,2019-07-26T00:00:00.0000000Z,2019-07-25T00:00:00.5520000Z,2019-07-25T23:59:58.3690000Z,9763.4,10175.0,9720.03,9879.87,37872.960029,368171
2019-07-24T00:00:00.0000000Z,2019-07-25T00:00:00.0000000Z,2019-07-24T00:00:00.3000000Z,2019-07-24T23:59:59.2260000Z,9864.78,9937.0,9525.0,9763.28,43475.380377,424762
2019-07-23T00:00:00.0000000Z,2019-07-24T00:00:00.0000000Z,2019-07-23T00:00:01.0830000Z,2019-07-23T23:59:59.8040000Z,10343.08,10343.97,9822.0,9864.91,47624.37071,448147
2019-07-22T00:00:00.0000000Z,2019-07-23T00:00:00.0000000Z,2019-07-22T00:00:00.8980000Z,2019-07-22T23:59:58.4860000Z,10590.15,10683.16,10100.0,10340.31,40467.425767,389563
2019-07-21T00:00:00.0000000Z,2019-07-22T00:00:00.0000000Z,2019-07-21T00:00:00.9970000Z,2019-07-21T23:59:59.5050000Z,10740.27,10817.9,10288.0,10589.45,38834.287935,395452
2019-07-20T00:00:00.0000000Z,2019-07-21T00:00:00.0000000Z,2019-07-20T00:00:00.9460000Z,2019-07-20T23:59:59.4970000Z,10505.78,11068.99,10350.0,10740.23,47318.820493,461601
2019-07-19T00:00:00.0000000Z,2019-07-20T00:00:00.0000000Z,2019-07-19T00:00:00.4900000Z,2019-07-19T23:59:59.4290000Z,10628.64,10769.71,10121.84,10504.29,56546.932133,567735
2019-07-18T00:00:00.0000000Z,2019-07-19T00:00:00.0000000Z,2019-07-18T00:00:00.0330000Z,2019-07-18T23:59:58.1190000Z,9668.86,10788.0,9252.0,10627.16,80121.510303,733518
2019-07-17T00:00:00.0000000Z,2019-07-18T00:00:00.0000000Z,2019-07-17T00:00:00.0300000Z,2019-07-17T23:59:59.0460000Z,9430.17,9957.0,9060.0,9667.92,84942.672717,757742
2019-07-16T00:00:00.0000000Z,2019-07-17T00:00:00.0000000Z,2019-07-16T00:00:00.2720000Z,2019-07-16T23:59:59.8490000Z,10833.78,11028.0,9350.01,9439.59,97206.201226,796575
2019-07-15T00:00:00.0000000Z,2019-07-16T00:00:00.0000000Z,2019-07-15T00:00:00.1970000Z,2019-07-15T23:59:59.4790000Z,10174.18,11100.0,9860.0,10838.72,81904.767388,732122
2019-07-14T00:00:00.0000000Z,2019-07-15T00:00:00.0000000Z,2019-07-14T00:00:00.4070000Z,2019-07-14T23:59:59.9890000Z,11355.78,11452.0,10103.0,10174.18,72516.816986,649037
2019-07-13T00:00:00.0000000Z,2019-07-14T00:00:00.0000000Z,2019-07-13T00:00:00.2960000Z,2019-07-13T23:59:59.9970000Z,11757.22,11799.98,10830.0,11355.76,54245.343835,510300
2019-07-12T00:00:00.0000000Z,2019-07-13T00:00:00.0000000Z,2019-07-12T00:00:00.6090000Z,2019-07-12T23:59:59.2180000Z,11342.88,11885.0,11073.0,11757.22,56321.858281,537561
2019-07-11T00:00:00.0000000Z,2019-07-12T00:00:00.0000000Z,2019-07-11T00:00:00.2950000Z,2019-07-11T23:59:59.5590000Z,12108.11,12111.73,11000.0,11342.89,87500.792792,759963
2019-07-10T00:00:00.0000000Z,2019-07-11T00:00:00.0000000Z,2019-07-10T00:00:00.2970000Z,2019-07-10T23:59:59.9370000Z,12548.51,13147.08,11569.0,12108.37,109163.842987,898797
2019-07-09T00:00:00.0000000Z,2019-07-10T00:00:00.0000000Z,2019-07-09T00:00:00.1360000Z,2019-07-09T23:59:59.9200000Z,12238.6,12794.73,12068.0,12543.41,78377.782473,659990
2019-07-08T00:00:00.0000000Z,2019-07-09T00:00:00.0000000Z,2019-07-08T00:00:00.4060000Z,2019-07-08T23:59:59.9610000Z,11410.0,12338.03,11220.0,12238.6,52182.367215,507860
2019-07-07T00:00:00.0000000Z,2019-07-08T00:00:00.0000000Z,2019-07-07T00:00:00.4450000Z,2019-07-07T23:59:59.6490000Z,11256.45,11538.0,11094.37,11406.24,38884.795599,366769
2019-07-06T00:00:00.0000000Z,2019-07-07T00:00:00.0000000Z,2019-07-06T00:00:00.3040000Z,2019-07-06T23:59:59.7840000Z,10982.41,11665.0,10964.51,11256.49,51469.496331,470692
