Date,o
2016-10-31,"{'deposit': 4.07656097721242, 'inhouse': 3.55445604426831, 'inter': 0.32492497850502605, 'total': 11.2498405172124, 'withdrawal': 3.29389851722667}"
2016-11-01,"{'deposit': 3.41030774074717, 'inhouse': 3.59577887549982, 'inter': 0.44351185908970403, 'total': 10.6147455307472, 'withdrawal': 3.16514705541048}"
2016-11-02,"{'deposit': 2.98940152607415, 'inhouse': 3.61247237812503, 'inter': 0.301382517361796, 'total': 9.86844879607415, 'withdrawal': 2.96519237451318}"
2016-11-03,"{'deposit': 3.19157428721644, 'inhouse': 3.53962688409521, 'inter': 0.41153227590391306, 'total': 10.3635903672164, 'withdrawal': 3.22085692000088}"
2016-11-04,"{'deposit': 3.02612768595254, 'inhouse': 3.92438619965573, 'inter': 0.336309753916531, 'total': 10.7948646659525, 'withdrawal': 3.50804102642774}"
2016-11-05,"{'deposit': 2.71835967646199, 'inhouse': 2.69781117141391, 'inter': 0.286517278933273, 'total': 8.79055185646198, 'withdrawal': 3.08786372965281}"
2016-11-06,"{'deposit': 2.57867419297557, 'inhouse': 2.58895083922861, 'inter': 0.25830681451001, 'total': 8.36215224297557, 'withdrawal': 2.9362203962613798}"
2016-11-07,"{'deposit': 3.54529996137643, 'inhouse': 4.5071473712519, 'inter': 0.339283339599437, 'total': 11.8902061013764, 'withdrawal': 3.49847542914866}"
2016-11-08,"{'deposit': 3.8219177127857, 'inhouse': 4.08839172928963, 'inter': 0.35477464272352804, 'total': 12.1440075427857, 'withdrawal': 3.87892345798684}"
2016-11-09,"{'deposit': 3.6470057514622, 'inhouse': 3.02038243840388, 'inter': 0.367586314260468, 'total': 10.7144967914622, 'withdrawal': 3.67952228733565}"
2016-11-10,"{'deposit': 3.1849859941065, 'inhouse': 3.09741373854473, 'inter': 0.27663187560234104, 'total': 9.98653319410651, 'withdrawal': 3.42750158585293}"
2016-11-11,"{'deposit': 2.70247844762735, 'inhouse': 2.9746324420881303, 'inter': 0.23792465478853703, 'total': 9.10017939762735, 'withdrawal': 3.18514385312334}"
2016-11-12,"{'deposit': 2.41918802430709, 'inhouse': 2.38572213689285, 'inter': 0.32091006948668904, 'total': 8.11880098430709, 'withdrawal': 2.99298075362046}"
2016-11-13,"{'deposit': 2.41351817031645, 'inhouse': 2.25773649697708, 'inter': 0.24946918967962203, 'total': 7.83401902031645, 'withdrawal': 2.9132951633433}"
2016-11-14,"{'deposit': 2.80996168554767, 'inhouse': 3.89599155691355, 'inter': 0.24213726597210902, 'total': 10.2975155155477, 'withdrawal': 3.34942500711434}"
2016-11-15,"{'deposit': 2.98971297382861, 'inhouse': 3.1642000250283, 'inter': 0.23442486993657702, 'total': 9.87582860382861, 'withdrawal': 3.48749073503512}"
2016-11-16,"{'deposit': 3.6807422157117298, 'inhouse': 3.30584252984118, 'inter': 0.39017031372264, 'total': 10.9223376957117, 'withdrawal': 3.5455826364361798}"
2016-11-17,"{'deposit': 3.54725491289479, 'inhouse': 3.38581560939873, 'inter': 0.359832344748294, 'total': 11.1660441228948, 'withdrawal': 3.87314125585298}"
2016-11-18,"{'deposit': 3.32814182083842, 'inhouse': 3.5776845089413998, 'inter': 0.356144958957252, 'total': 10.6545921408384, 'withdrawal': 3.39262085210135}"
2016-11-19,"{'deposit': 2.91629210243942, 'inhouse': 2.44599911712998, 'inter': 0.301915880988881, 'total': 9.26832831243942, 'withdrawal': 3.60412121188114}"
2016-11-20,"{'deposit': 3.11080648700704, 'inhouse': 2.41737141926483, 'inter': 0.253030189767434, 'total': 9.06905433700704, 'withdrawal': 3.28784624096774}"
2016-11-21,"{'deposit': 3.65902971360584, 'inhouse': 4.77945531547108, 'inter': 0.24863299814927503, 'total': 12.8493395136058, 'withdrawal': 4.16222148637965}"
2016-11-22,"{'deposit': 3.97192786931778, 'inhouse': 3.9997857500355503, 'inter': 0.522138839768114, 'total': 13.9552580493178, 'withdrawal': 5.46140559019634}"
2016-11-23,"{'deposit': 4.23545294345434, 'inhouse': 5.03978336576947, 'inter': 0.815009070094268, 'total': 24.1444215534543, 'withdrawal': 14.0541761741363}"
2016-11-24,"{'deposit': 5.38440225734389, 'inhouse': 5.92663638196837, 'inter': 0.618291342446683, 'total': 22.3495320573439, 'withdrawal': 10.4202020755849}"
2016-11-25,"{'deposit': 5.54084559129427, 'inhouse': 4.57290765231005, 'inter': 0.341031323303606, 'total': 17.3033779012943, 'withdrawal': 6.84859333438634}"
2016-11-26,"{'deposit': 4.01080937364013, 'inhouse': 4.00991280640671, 'inter': 0.27658354869517604, 'total': 14.3182857236401, 'withdrawal': 6.02097999489811}"
2016-11-27,"{'deposit': 3.10832730298935, 'inhouse': 2.71171746109986, 'inter': 0.269015741418184, 'total': 9.69158846298935, 'withdrawal': 3.6025279574819598}"
2016-11-28,"{'deposit': 3.97060861813128, 'inhouse': 4.73554920133877, 'inter': 0.257912867035671, 'total': 13.0816705881313, 'withdrawal': 4.11759990162556}"
2016-11-29,"{'deposit': 3.9647955661031897, 'inhouse': 4.05675613491135, 'inter': 0.387475446857656, 'total': 12.8900037261032, 'withdrawal': 4.480976578231}"
2016-11-30,"{'deposit': 4.19769226984314, 'inhouse': 4.02895868545966, 'inter': 0.35698369170201405, 'total': 12.6347180598431, 'withdrawal': 4.05108341283833}"
2016-12-01,"{'deposit': 3.78968260084564, 'inhouse': 5.83111011443133, 'inter': 0.8386719346273991, 'total': 29.1838097808456, 'withdrawal': 18.724345130941302}"
2016-12-02,"{'deposit': 4.92933392468035, 'inhouse': 3.85490523215171, 'inter': 0.664283087941356, 'total': 20.1680407346803, 'withdrawal': 10.7195184899069}"
2016-12-03,"{'deposit': 3.77038689010856, 'inhouse': 4.24356467641019, 'inter': 0.35960636052238704, 'total': 14.1355251601086, 'withdrawal': 5.76196723306742}"
2016-12-04,"{'deposit': 3.03987362800716, 'inhouse': 3.00663632844847, 'inter': 0.36238736275661804, 'total': 13.9134947580072, 'withdrawal': 7.50459743879492}"
2016-12-05,"{'deposit': 3.89469930483597, 'inhouse': 5.40697961753716, 'inter': 0.48650300865294105, 'total': 17.849812574836, 'withdrawal': 8.0616306438099}"
2016-12-06,"{'deposit': 4.56559639247524, 'inhouse': 4.64852110933112, 'inter': 0.45826863722183603, 'total': 15.3707288024752, 'withdrawal': 5.69834266344705}"
2016-12-07,"{'deposit': 4.34264139472896, 'inhouse': 4.58143629265704, 'inter': 0.391730658236627, 'total': 14.068953504729, 'withdrawal': 4.75314515910633}"
2016-12-08,"{'deposit': 3.87794717308647, 'inhouse': 3.98406770189005, 'inter': 0.295726036545764, 'total': 12.0605290830865, 'withdrawal': 3.90278817156419}"
2016-12-09,"{'deposit': 4.11302045270098, 'inhouse': 4.436449712341, 'inter': 0.40244728728169904, 'total': 15.007601882701, 'withdrawal': 6.0556844303773}"
2016-12-10,"{'deposit': 3.44282804315165, 'inhouse': 3.43214932015049, 'inter': 0.30079350662341503, 'total': 14.2234107831517, 'withdrawal': 7.0476399132261}"
2016-12-11,"{'deposit': 2.93727580928676, 'inhouse': 3.3563183055309, 'inter': 0.295983340124291, 'total': 12.6677893692868, 'withdrawal': 6.07821191434481}"
2016-12-12,"{'deposit': 4.11800969285301, 'inhouse': 4.09083036006333, 'inter': 0.308105222961275, 'total': 13.035576242853, 'withdrawal': 4.5186309669754}"
2016-12-13,"{'deposit': 4.13791569258752, 'inhouse': 3.8646634784006, 'inter': 0.31929182571136, 'total': 12.2674474325875, 'withdrawal': 3.94557643588804}"
2016-12-14,"{'deposit': 4.03389129454268, 'inhouse': 4.0793464526816, 'inter': 0.280367779879924, 'total': 12.4103109045427, 'withdrawal': 4.01670537743848}"
2016-12-15,"{'deposit': 4.20341586418419, 'inhouse': 4.08995390572643, 'inter': 0.352792039230619, 'total': 13.4944885241842, 'withdrawal': 4.84832671504295}"
2016-12-16,"{'deposit': 4.09518099495554, 'inhouse': 5.09893817253631, 'inter': 0.265309300187764, 'total': 13.7164151849555, 'withdrawal': 4.25698671727593}"
2016-12-17,"{'deposit': 3.44343422378586, 'inhouse': 3.11852030446689, 'inter': 0.265481812989632, 'total': 11.5232411437859, 'withdrawal': 4.6958048025434795}"
2016-12-18,"{'deposit': 2.89003300655066, 'inhouse': 2.81580388533731, 'inter': 0.25354745960846103, 'total': 11.8959199865507, 'withdrawal': 5.93653563505423}"
2016-12-19,"{'deposit': 4.15761764110785, 'inhouse': 4.8602572245943, 'inter': 0.40742375204103204, 'total': 15.8220434511079, 'withdrawal': 6.39674483336467}"
2016-12-20,"{'deposit': 3.88290923597865, 'inhouse': 4.47322008324333, 'inter': 0.29937272491328304, 'total': 13.3406862059786, 'withdrawal': 4.68518416184338}"
2016-12-21,"{'deposit': 4.86489036189427, 'inhouse': 4.90750538297036, 'inter': 0.38990541502282405, 'total': 14.968915111894301, 'withdrawal': 4.80661395200682}"
2016-12-22,"{'deposit': 4.93279252780832, 'inhouse': 4.84900611626299, 'inter': 0.379116315693908, 'total': 14.8339866978083, 'withdrawal': 4.67307173804311}"
2016-12-23,"{'deposit': 5.10587146818874, 'inhouse': 4.57804875806053, 'inter': 0.38533793297949803, 'total': 14.7930706481887, 'withdrawal': 4.72381248895997}"
2016-12-24,"{'deposit': 3.83348035063736, 'inhouse': 3.38610234531189, 'inter': 0.335886370050722, 'total': 12.3248984806374, 'withdrawal': 4.76942941463738}"
2016-12-25,"{'deposit': 2.67783631445286, 'inhouse': 2.98537724752874, 'inter': 0.23568495487651303, 'total': 8.781346074452859, 'withdrawal': 2.88244755759475}"
2016-12-26,"{'deposit': 3.51995471079273, 'inhouse': 3.99603539230827, 'inter': 0.285086006358722, 'total': 11.4618118907927, 'withdrawal': 3.66073578133301}"
2016-12-27,"{'deposit': 4.43317375074051, 'inhouse': 5.11503630334093, 'inter': 0.344553114040132, 'total': 14.1849075507405, 'withdrawal': 4.29214438261894}"
2016-12-28,"{'deposit': 4.73105665847503, 'inhouse': 5.68864483367973, 'inter': 0.506092492799617, 'total': 16.759061808475, 'withdrawal': 5.83326782352065}"
2016-12-29,"{'deposit': 4.5686020237663705, 'inhouse': 5.8816950686208305, 'inter': 0.39754521115962105, 'total': 15.9995169937664, 'withdrawal': 5.15167469021954}"
2016-12-30,"{'deposit': 4.24094118050163, 'inhouse': 4.78156367845253, 'inter': 0.35785010518813404, 'total': 14.3992593905016, 'withdrawal': 5.01890442635934}"
2016-12-31,"{'deposit': 3.5233282024808, 'inhouse': 3.38050998171863, 'inter': 0.231743434556778, 'total': 11.1543011124808, 'withdrawal': 4.01871949372459}"
2017-01-01,"{'deposit': 3.19742596587584, 'inhouse': 3.21595744591969, 'inter': 0.29100342549107805, 'total': 10.7220593858758, 'withdrawal': 4.01767254858923}"
2017-01-02,"{'deposit': 5.84387276108349, 'inhouse': 5.50422219988774, 'inter': 0.529735280457687, 'total': 20.7612182610835, 'withdrawal': 8.88338801965457}"
2017-01-03,"{'deposit': 5.98141157355115, 'inhouse': 5.60883922937219, 'inter': 0.41616240712743, 'total': 17.2850530835512, 'withdrawal': 5.27863987350039}"
2017-01-04,"{'deposit': 7.32635043469281, 'inhouse': 6.95994324037222, 'inter': 0.7082806626632671, 'total': 21.8055488846928, 'withdrawal': 6.81097454696451}"
2017-01-05,"{'deposit': 6.08184571722118, 'inhouse': 5.69774902119255, 'inter': 0.932046299078857, 'total': 22.4373454472212, 'withdrawal': 9.72570440972859}"
2017-01-06,"{'deposit': 5.98228395633007, 'inhouse': 6.72658508410052, 'inter': 0.531923218708781, 'total': 19.0782195663301, 'withdrawal': 5.8374273071907}"
2017-01-07,"{'deposit': 5.32053732354211, 'inhouse': 4.58194605715229, 'inter': 0.5432565264199151, 'total': 15.7038898735421, 'withdrawal': 5.25814996642779}"
2017-01-08,"{'deposit': 3.78575546309541, 'inhouse': 4.1021122651411, 'inter': 0.38328018876673, 'total': 12.2197476430954, 'withdrawal': 3.94859972609217}"
2017-01-09,"{'deposit': 4.10223274397575, 'inhouse': 4.79154959631558, 'inter': 0.31664875158861, 'total': 13.4146696339758, 'withdrawal': 4.20423854209581}"
2017-01-10,"{'deposit': 5.28613065472149, 'inhouse': 5.9369852698231895, 'inter': 0.452105152249588, 'total': 16.5014897247215, 'withdrawal': 4.82626864792722}"
2017-01-11,"{'deposit': 5.58957290115095, 'inhouse': 5.82366321417856, 'inter': 0.5772099234425111, 'total': 16.7187038211509, 'withdrawal': 4.72825778237893}"
2017-01-12,"{'deposit': 5.09281510152961, 'inhouse': 5.74025495157984, 'inter': 0.43559354967902, 'total': 15.8021960715296, 'withdrawal': 4.53353246874114}"
2017-01-13,"{'deposit': 4.3175459799627, 'inhouse': 5.35085703328785, 'inter': 0.356458930544159, 'total': 14.0968629099627, 'withdrawal': 4.07200096616799}"
2017-01-14,"{'deposit': 3.62765535177678, 'inhouse': 4.13240256303615, 'inter': 0.397637510268645, 'total': 14.0858201217768, 'withdrawal': 5.92812469669521}"
2017-01-15,"{'deposit': 3.27313767251168, 'inhouse': 3.74938919364345, 'inter': 0.29186260937601405, 'total': 13.0394959525117, 'withdrawal': 5.72510647698054}"
2017-01-16,"{'deposit': 4.08287013724827, 'inhouse': 4.88799454683474, 'inter': 0.44863433372710204, 'total': 17.5970327372483, 'withdrawal': 8.17753371943816}"
2017-01-17,"{'deposit': 5.22950865996527, 'inhouse': 4.02192304346061, 'inter': 0.511569419635037, 'total': 16.5999527799653, 'withdrawal': 6.8369516569043505}"
2017-01-18,"{'deposit': 5.03508539593004, 'inhouse': 3.9243495724385102, 'inter': 0.44618686451862105, 'total': 15.17417316593, 'withdrawal': 5.76855133304287}"
